# SYSTEM PARAMETERS
LENGTH,GRAVITY,DAMPING,DT,MASS,INITIAL_ANGLE,NUM_FRAMES
1.0,9.81,0.2,0.015,1.0,2.0943951023931953,2500

frame,time,theta,theta_dot,potential_energy,kinetic_energy,total_energy
0,0,2.0943952,0.0,14.715,0.0,14.715
1,0.015,2.0924835,-0.12743564,14.698751,0.008119921,14.706871
2,0.03,2.088664,-0.25462937,14.666231,0.032418057,14.698649
3,0.045,2.0829382,-0.3817207,14.617346,0.072855346,14.690201
4,0.06,2.0753055,-0.5088457,14.551937,0.12946197,14.681399
5,0.075,2.0657635,-0.636136,14.469778,0.20233451,14.672112
6,0.09,2.0543077,-0.7637173,14.37058,0.29163206,14.662211
7,0.105,2.0409322,-0.891708,14.254004,0.3975716,14.651575
8,0.12,2.0256288,-1.0202181,14.11965,0.5204225,14.640073
9,0.135,2.0083885,-1.1493474,13.967083,0.66049975,14.627583
10,0.15000000000000002,1.9892007,-1.2791841,13.795833,0.818156,14.613989
11,0.16500000000000004,1.9680537,-1.4098032,13.605399,0.99377245,14.599172
12,0.18000000000000005,1.9449347,-1.5412645,13.3952675,1.1877482,14.583015
13,0.19500000000000006,1.9198306,-1.6736113,13.1649275,1.4004874,14.565414
14,0.21000000000000008,1.8927275,-1.8068678,12.913876,1.6323857,14.546261
15,0.2250000000000001,1.8636119,-1.9410375,12.641648,1.8838134,14.525461
16,0.2400000000000001,1.8324704,-2.076101,12.347828,2.1550977,14.502926
17,0.2550000000000001,1.7992902,-2.2120135,12.032071,2.4465017,14.478573
18,0.27000000000000013,1.7640597,-2.348703,11.694134,2.7582028,14.452336
19,0.28500000000000014,1.7267686,-2.4860673,11.333893,3.0902653,14.424158
20,0.30000000000000016,1.687409,-2.623973,10.951381,3.442617,14.393997
21,0.31500000000000017,1.6459752,-2.7622516,10.54681,3.815017,14.361827
22,0.3300000000000002,1.6024648,-2.9006991,10.120616,4.207028,14.327644
23,0.3450000000000002,1.5568787,-3.0390732,9.673472,4.617983,14.291455
24,0.3600000000000002,1.5092223,-3.1770918,9.20634,5.046956,14.253296
25,0.3750000000000002,1.4595058,-3.3144317,8.720492,5.4927287,14.213221
26,0.39000000000000024,1.4077449,-3.450728,8.217544,5.9537616,14.171305
